address,name,r_n_address,rate,rate_num,고기,한식,중식,양식,일식,카페,가족식사,친구랑,술자리,밥약,데이트,디저트,혼밥,분위기 있는,가성비,깨끗한,소개팅,뒷풀이,Column2,Column3,Column4,예약가능여부,tags,참고사항
서울 서대문구 연세로9길 34-1 2~3층 (우)03787,책다방 위숨,창천동 53-82,3.8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,"'#북카페', '#스터디카페', '#제로페이'",삭제!!
서울 서대문구 연세로9길 19 (우)03788,착한곱창,창천동 52-44,4.7,23,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,,,0,'etc',
서울 서대문구 연세로5가길 8 (우)03789,춘천집닭갈비 본사직영철판구이,창천동 31-51,3.6,17,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,0,"'#점심식사', '#제로페이'",
서울 서대문구 이화여대길 88-19 (우)03765,카페 코지,대현동 34-44,4.1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,"'#일본가정식', '#혼밥', '#제로페이'",삭제!!
서울 서대문구 이화여대2길 37 (우)03767,내사랑,대현동 67-80,3.5,17,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,,,,0,"'#디저트카페', '#제로페이'",
서울 서대문구 명물길 36-7 (우)03777,피자보이시나 신촌점,창천동 5-63,4.9,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,0,"'#피맥', '#제로페이'",
서울 서대문구 연세로 50-1 (우)03722,스타벅스 연세종합관점,대신동 5,3,12,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,,,,0,'#카카오페이',
서울 서대문구 명물길 50-9 (우)03777,소바연구소,창천동 5-30,3.5,33,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,,,,0,'#혼밥',
서울 서대문구 명물길 22 2층 (우)03777,벽제갈비 신촌점,창천동 13-20,3.5,17,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,0,'#안심식당',
서울 서대문구 연세로7안길 10 (우)03788,구이마을 2호점,창천동 33-25,4.2,54,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,0,"'#안심식당', '#삼겹살무한리필', '#친목모임', '#회식장소', '#제로페이'",
